@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,67,kobieta,'\'(55.2-67.6]\'',265.58,1,1189,13,dobry
48,51,kobieta,'\'(55.2-67.6]\'',500,1,1212,13,dobry
48,93,kobieta,'\'(55.2-67.6]\'',400,1,1137.19,13,dobry
48,10,kobieta,'\'(55.2-67.6]\'',300,0,744.07,13,dobry
48,47,mê¿czyzna,'\'(42.8-55.2]\'',300,0,2100,11,dobry
48,100,kobieta,'\'(55.2-67.6]\'',300,1,1130,13,dobry
48,163,mê¿czyzna,'\'(55.2-67.6]\'',900,1,1510,11,dobry
48,198,kobieta,'\'(55.2-67.6]\'',200,1,802.83,13,dobry
48,28,kobieta,'\'(42.8-55.2]\'',500,1,655,16,dobry
48,17,kobieta,'\'(55.2-67.6]\'',300,1,1684,13,dobry
48,83,mê¿czyzna,'\'(55.2-67.6]\'',1000,0,3600,13,dobry
48,134,kobieta,'\'(55.2-67.6]\'',235.97,1,1428.55,13,dobry
19,53,kobieta,'\'(42.8-55.2]\'',200,0,990.34,12,dobry
48,51,kobieta,'\'(42.8-55.2]\'',1000,1,5800,11,dobry
48,42,mê¿czyzna,'\'(55.2-67.6]\'',350,0,1601.87,13,dobry
48,11,mê¿czyzna,'\'(42.8-55.2]\'',200,1,1400,11,dobry
5,4,mê¿czyzna,'\'(42.8-55.2]\'',200,0,1210,12,dobry
48,50,mê¿czyzna,'\'(67.6-inf)\'',300,1,940,13,dobry
12,48,kobieta,'\'(42.8-55.2]\'',350,0,1031,17,dobry
48,79,mê¿czyzna,'\'(67.6-inf)\'',1800,0,2612,13,dobry
48,162,mê¿czyzna,'\'(30.4-42.8]\'',300,1,1800,11,dobry
48,48,kobieta,'\'(55.2-67.6]\'',200,0,634,16,dobry
48,62,kobieta,'\'(55.2-67.6]\'',400,0,1474.55,13,dobry
0,2,mê¿czyzna,'\'(-inf-30.4]\'',200,0,1393.85,99,dobry
48,40,kobieta,'\'(55.2-67.6]\'',300,0,1100,13,dobry
48,128,kobieta,'\'(55.2-67.6]\'',300,2,930,13,dobry
48,102,kobieta,'\'(55.2-67.6]\'',300,1,1100,13,dobry
48,316,kobieta,'\'(42.8-55.2]\'',600,1,2800,11,dobry
48,201,mê¿czyzna,'\'(42.8-55.2]\'',769.94,1,2500,11,dobry
48,11,mê¿czyzna,'\'(67.6-inf)\'',500,1,1700,13,dobry
6,6,mê¿czyzna,'\'(42.8-55.2]\'',200,1,988,12,dobry
48,159,kobieta,'\'(55.2-67.6]\'',400,0,1062,13,dobry
48,163,mê¿czyzna,'\'(55.2-67.6]\'',400,1,1503,13,dobry
48,31,kobieta,'\'(42.8-55.2]\'',400,1,1300,11,dobry
8,6,kobieta,'\'(30.4-42.8]\'',300,1,1200,12,dobry
48,194,mê¿czyzna,'\'(67.6-inf)\'',700,1,2098,13,dobry
48,68,kobieta,'\'(67.6-inf)\'',1000,2,2291,13,dobry
48,228,mê¿czyzna,'\'(55.2-67.6]\'',300,0,837,16,dobry
0,0,kobieta,'\'(30.4-42.8]\'',250,0,1040,12,z?y
48,558,kobieta,'\'(67.6-inf)\'',200,0,730,13,dobry
17,12,kobieta,'\'(42.8-55.2]\'',300,0,1100,12,z?y
48,303,kobieta,'\'(42.8-55.2]\'',500,1,1700,11,dobry
48,111,mê¿czyzna,'\'(55.2-67.6]\'',2000,1,2031,11,z?y
48,138,kobieta,'\'(67.6-inf)\'',200,2,1442.43,13,dobry
48,117,mê¿czyzna,'\'(42.8-55.2]\'',200,2,1360,11,dobry
5,31,kobieta,'\'(42.8-55.2]\'',300,0,1050,12,dobry
48,198,kobieta,'\'(55.2-67.6]\'',500,0,892,16,dobry
15,11,kobieta,'\'(42.8-55.2]\'',1130.33,1,1500,12,dobry
48,64,kobieta,'\'(55.2-67.6]\'',400,1,850,13,dobry
1,2,mê¿czyzna,'\'(55.2-67.6]\'',800,0,2500,12,dobry
48,108,kobieta,'\'(55.2-67.6]\'',300,0,1350,13,dobry
48,176,kobieta,'\'(30.4-42.8]\'',903.23,1,1900,11,dobry
48,186,mê¿czyzna,'\'(42.8-55.2]\'',700,1,3200,11,dobry
48,20,kobieta,'\'(-inf-30.4]\'',700,0,2100,11,dobry
5,53,kobieta,'\'(55.2-67.6]\'',200,0,547.89,17,dobry
25,10,mê¿czyzna,'\'(-inf-30.4]\'',600,0,443.65,17,z?y
48,1,mê¿czyzna,'\'(42.8-55.2]\'',700,0,3000,11,z?y
48,63,kobieta,'\'(55.2-67.6]\'',400,1,1411,16,dobry
0,8,mê¿czyzna,'\'(-inf-30.4]\'',700,1,1800,12,dobry
48,135,kobieta,'\'(55.2-67.6]\'',300,0,1210,13,dobry
5,19,kobieta,'\'(-inf-30.4]\'',500,2,1447,12,dobry
48,11,kobieta,'\'(30.4-42.8]\'',300,0,1515.11,11,z?y
7,17,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1037.34,12,dobry
48,61,kobieta,'\'(67.6-inf)\'',200,1,785,13,dobry
1,9,mê¿czyzna,'\'(-inf-30.4]\'',449.7,2,980,99,dobry
48,339,mê¿czyzna,'\'(42.8-55.2]\'',500,1,1320,11,dobry
48,112,kobieta,'\'(67.6-inf)\'',200,1,959.6,16,dobry
48,86,kobieta,'\'(42.8-55.2]\'',600,1,1700,11,dobry
48,27,mê¿czyzna,'\'(42.8-55.2]\'',300,2,3900,13,dobry
48,90,kobieta,'\'(55.2-67.6]\'',200,0,720.19,13,dobry
4,1,mê¿czyzna,'\'(-inf-30.4]\'',300,1,750,99,dobry
48,17,kobieta,'\'(55.2-67.6]\'',500,1,1425,13,z?y
48,369,kobieta,'\'(42.8-55.2]\'',300,1,1077.49,11,dobry
0,7,kobieta,'\'(30.4-42.8]\'',200,2,2800,99,z?y
48,7,mê¿czyzna,'\'(42.8-55.2]\'',600,2,4000,11,dobry
48,135,mê¿czyzna,'\'(55.2-67.6]\'',700,0,2010,13,dobry
48,72,mê¿czyzna,'\'(30.4-42.8]\'',1000,2,2258,11,dobry
1,10,mê¿czyzna,'\'(-inf-30.4]\'',200,2,985,17,dobry
48,88,kobieta,'\'(55.2-67.6]\'',392.14,2,1668,13,dobry
48,15,kobieta,'\'(42.8-55.2]\'',441.91,1,1050,11,z?y
48,19,mê¿czyzna,'\'(55.2-67.6]\'',200,0,1672.59,13,dobry
48,68,mê¿czyzna,'\'(55.2-67.6]\'',200,0,12220,13,dobry
48,419,mê¿czyzna,'\'(42.8-55.2]\'',600,2,588,16,dobry
48,136,kobieta,'\'(55.2-67.6]\'',300,0,611,13,dobry
48,19,kobieta,'\'(55.2-67.6]\'',230,1,1065,13,dobry
48,50,mê¿czyzna,'\'(55.2-67.6]\'',400,1,1261.6,13,dobry
48,24,mê¿czyzna,'\'(30.4-42.8]\'',1000,0,1200,11,z?y
48,39,kobieta,'\'(55.2-67.6]\'',400,1,1454.91,13,dobry
0,9,kobieta,'\'(-inf-30.4]\'',300,0,1634,12,dobry
48,252,kobieta,'\'(67.6-inf)\'',1000,0,1900,13,z?y
48,12,mê¿czyzna,'\'(30.4-42.8]\'',500,2,2700,11,dobry
48,67,kobieta,'\'(55.2-67.6]\'',799.84,2,1680,11,dobry
23,9,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1400,12,dobry
5,8,kobieta,'\'(30.4-42.8]\'',200,0,1037,12,z?y
48,150,kobieta,'\'(67.6-inf)\'',432.44,2,1072,13,dobry
48,208,mê¿czyzna,'\'(55.2-67.6]\'',200,1,763.38,16,dobry
48,9,kobieta,'\'(42.8-55.2]\'',500,2,1045.6,16,dobry
48,74,mê¿czyzna,'\'(-inf-30.4]\'',400,1,1888.27,11,dobry
48,198,kobieta,'\'(30.4-42.8]\'',500,0,2927,11,dobry
48,5,mê¿czyzna,'\'(55.2-67.6]\'',400,0,1842.86,11,dobry
48,135,mê¿czyzna,'\'(55.2-67.6]\'',600,0,3100,13,dobry
48,96,mê¿czyzna,'\'(42.8-55.2]\'',300,0,1688.82,13,dobry
48,67,kobieta,'\'(55.2-67.6]\'',300,2,1240,13,dobry
5,15,mê¿czyzna,'\'(-inf-30.4]\'',400,2,900,12,dobry
48,22,kobieta,'\'(42.8-55.2]\'',300,2,1400,11,dobry
48,244,kobieta,'\'(67.6-inf)\'',200,2,1026,13,dobry
48,202,kobieta,'\'(42.8-55.2]\'',281.29,2,1700,11,dobry
48,209,mê¿czyzna,'\'(55.2-67.6]\'',300,2,3000,11,dobry
48,90,kobieta,'\'(42.8-55.2]\'',300,1,763,11,dobry
4,8,kobieta,'\'(42.8-55.2]\'',400,0,645.31,99,dobry
48,254,kobieta,'\'(67.6-inf)\'',300,2,729.03,13,dobry
48,72,kobieta,'\'(55.2-67.6]\'',400,1,1090.14,13,dobry
48,144,mê¿czyzna,'\'(55.2-67.6]\'',600,0,2458,11,dobry
48,219,kobieta,'\'(55.2-67.6]\'',200,2,714,13,dobry
48,88,kobieta,'\'(55.2-67.6]\'',200,1,1389,16,dobry
48,76,kobieta,'\'(67.6-inf)\'',381.29,2,1291.18,13,dobry
10,1,mê¿czyzna,'\'(42.8-55.2]\'',400,1,1952.35,12,dobry
30,210,mê¿czyzna,'\'(55.2-67.6]\'',300,0,607.95,17,z?y
48,73,kobieta,'\'(55.2-67.6]\'',900,1,1370,13,dobry
48,122,kobieta,'\'(55.2-67.6]\'',300,2,665.92,13,z?y
48,2,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1226,11,z?y
48,75,kobieta,'\'(55.2-67.6]\'',400,0,1170,13,dobry
48,130,kobieta,'\'(55.2-67.6]\'',400,1,1187.06,11,dobry
16,69,kobieta,'\'(42.8-55.2]\'',400,2,990,17,dobry
48,315,mê¿czyzna,'\'(42.8-55.2]\'',500,2,2080,11,dobry
1,52,kobieta,'\'(42.8-55.2]\'',400,2,1700,12,dobry
48,55,kobieta,'\'(-inf-30.4]\'',200,0,1373.34,11,dobry
18,162,kobieta,'\'(-inf-30.4]\'',200,2,1200,17,dobry
48,110,kobieta,'\'(30.4-42.8]\'',600,1,2400,11,dobry
46,140,mê¿czyzna,'\'(55.2-67.6]\'',500,1,1485,17,dobry
15,9,mê¿czyzna,'\'(-inf-30.4]\'',200,0,1136.86,12,dobry
48,53,kobieta,'\'(55.2-67.6]\'',500,2,1362,13,dobry
48,2,mê¿czyzna,'\'(42.8-55.2]\'',500,1,3250,11,z?y
48,9,mê¿czyzna,'\'(55.2-67.6]\'',500,0,1600,16,dobry
48,113,mê¿czyzna,'\'(42.8-55.2]\'',300,0,730,16,z?y
48,351,kobieta,'\'(42.8-55.2]\'',426.61,2,2470,11,dobry
4,15,kobieta,'\'(42.8-55.2]\'',400,2,1040,12,z?y
48,106,kobieta,'\'(55.2-67.6]\'',400,2,1015,13,dobry
48,182,kobieta,'\'(30.4-42.8]\'',700,0,1557.5,11,z?y
48,158,kobieta,'\'(67.6-inf)\'',200,2,1017,13,dobry
5,53,kobieta,'\'(55.2-67.6]\'',350,1,547.89,17,dobry
48,49,kobieta,'\'(30.4-42.8]\'',600,1,1800,11,dobry
48,26,kobieta,'\'(30.4-42.8]\'',800,0,2050,11,dobry
48,67,kobieta,'\'(55.2-67.6]\'',200,2,910,13,dobry
48,297,mê¿czyzna,'\'(42.8-55.2]\'',200,0,2284.23,11,dobry
48,202,kobieta,'\'(42.8-55.2]\'',400,2,1577.42,11,dobry
19,41,kobieta,'\'(30.4-42.8]\'',600,2,855,12,z?y
3,36,kobieta,'\'(30.4-42.8]\'',600,1,1540,12,dobry
48,115,mê¿czyzna,'\'(30.4-42.8]\'',575.74,2,2050,11,dobry
48,407,kobieta,'\'(42.8-55.2]\'',400,0,2368.57,11,dobry
20,28,kobieta,'\'(-inf-30.4]\'',300,0,540.62,17,z?y
48,96,kobieta,'\'(55.2-67.6]\'',1000,0,1875.17,13,z?y
48,8,kobieta,'\'(42.8-55.2]\'',500,0,4900,11,dobry
48,76,mê¿czyzna,'\'(67.6-inf)\'',300,1,1457,13,dobry
48,138,kobieta,'\'(55.2-67.6]\'',200,2,1216,13,dobry
48,14,kobieta,'\'(55.2-67.6]\'',400,2,1280,13,dobry
5,3,kobieta,'\'(30.4-42.8]\'',400,0,490.99,99,z?y
48,50,kobieta,'\'(42.8-55.2]\'',500,2,1800,11,dobry
48,132,mê¿czyzna,'\'(55.2-67.6]\'',800,0,1798.71,13,z?y
48,7,mê¿czyzna,'\'(-inf-30.4]\'',600,0,1110,11,z?y
48,91,kobieta,'\'(55.2-67.6]\'',670.73,2,930,13,dobry
48,99,mê¿czyzna,'\'(30.4-42.8]\'',500,1,1500,11,z?y
48,33,mê¿czyzna,'\'(30.4-42.8]\'',400,1,1033,11,z?y
48,75,kobieta,'\'(55.2-67.6]\'',500,1,1160,13,dobry
48,36,kobieta,'\'(55.2-67.6]\'',300,2,1244.77,13,dobry
48,236,kobieta,'\'(67.6-inf)\'',200,2,930,13,dobry
48,116,kobieta,'\'(67.6-inf)\'',500,2,1200,13,dobry
48,108,mê¿czyzna,'\'(67.6-inf)\'',600,0,2015.55,13,dobry
48,163,kobieta,'\'(55.2-67.6]\'',400,2,1085,13,dobry
48,61,mê¿czyzna,'\'(-inf-30.4]\'',500,2,2700,11,dobry
48,42,kobieta,'\'(30.4-42.8]\'',400,2,980.11,11,dobry
17,3,mê¿czyzna,'\'(-inf-30.4]\'',500,0,1139.48,12,z?y
48,192,kobieta,'\'(67.6-inf)\'',200,2,866.46,13,dobry
48,32,kobieta,'\'(55.2-67.6]\'',700,2,1872,13,dobry
48,109,mê¿czyzna,'\'(42.8-55.2]\'',600,2,2673.17,12,dobry
48,51,kobieta,'\'(55.2-67.6]\'',400,1,1400,13,dobry
48,194,kobieta,'\'(30.4-42.8]\'',500,1,1700,11,dobry
48,5,mê¿czyzna,'\'(30.4-42.8]\'',400,1,2700,11,z?y
48,86,mê¿czyzna,'\'(55.2-67.6]\'',500,2,1770,16,dobry
48,16,kobieta,'\'(30.4-42.8]\'',500.8,2,4000,98,dobry
48,85,kobieta,'\'(55.2-67.6]\'',1000,2,2670,11,dobry
48,254,mê¿czyzna,'\'(67.6-inf)\'',250,0,625.86,13,z?y
33,97,mê¿czyzna,'\'(-inf-30.4]\'',200,2,728,17,dobry
48,195,kobieta,'\'(55.2-67.6]\'',200,0,757.1,13,z?y
48,58,kobieta,'\'(55.2-67.6]\'',200,1,2113.24,13,dobry
48,38,kobieta,'\'(42.8-55.2]\'',300,0,685,16,dobry
48,209,kobieta,'\'(55.2-67.6]\'',400,0,1906.42,11,dobry
48,194,mê¿czyzna,'\'(55.2-67.6]\'',281.29,1,1561.87,13,z?y
5,15,kobieta,'\'(42.8-55.2]\'',200,1,984.34,12,dobry
48,231,kobieta,'\'(67.6-inf)\'',200,0,907,13,dobry
48,117,kobieta,'\'(42.8-55.2]\'',385.97,2,1721.7,11,dobry
48,230,mê¿czyzna,'\'(55.2-67.6]\'',300,2,726,16,dobry
48,28,kobieta,'\'(55.2-67.6]\'',300,2,936,13,dobry
48,147,mê¿czyzna,'\'(55.2-67.6]\'',500,2,1900,13,dobry
48,15,kobieta,'\'(55.2-67.6]\'',400,0,1817.24,13,dobry
48,26,kobieta,'\'(30.4-42.8]\'',200,0,520,98,z?y
48,134,mê¿czyzna,'\'(67.6-inf)\'',850,2,1100,16,z?y
48,190,kobieta,'\'(55.2-67.6]\'',400,0,1730.13,11,dobry
48,178,kobieta,'\'(30.4-42.8]\'',337.64,2,2709.34,11,dobry
48,12,kobieta,'\'(55.2-67.6]\'',300,0,1399.99,13,dobry
2,3,mê¿czyzna,'\'(42.8-55.2]\'',400,1,1963.88,12,dobry
48,136,kobieta,'\'(55.2-67.6]\'',600,2,1050,13,dobry
1,53,mê¿czyzna,'\'(-inf-30.4]\'',520.7,2,926,17,z?y
1,53,mê¿czyzna,'\'(-inf-30.4]\'',356.68,2,926,17,z?y
48,31,kobieta,'\'(42.8-55.2]\'',600,2,1443,11,dobry
48,66,kobieta,'\'(55.2-67.6]\'',1000,2,1820,13,dobry
48,52,kobieta,'\'(67.6-inf)\'',1000,2,2100,13,dobry
48,45,mê¿czyzna,'\'(55.2-67.6]\'',200,0,650.77,16,dobry
48,36,kobieta,'\'(55.2-67.6]\'',300,1,784,13,z?y
48,54,mê¿czyzna,'\'(-inf-30.4]\'',300,2,1000,11,dobry
48,52,kobieta,'\'(55.2-67.6]\'',300,2,1026,13,dobry
48,392,mê¿czyzna,'\'(55.2-67.6]\'',200,1,1500,11,dobry
48,50,mê¿czyzna,'\'(67.6-inf)\'',200,1,1420,13,dobry
48,48,mê¿czyzna,'\'(55.2-67.6]\'',400,0,1217,13,dobry
48,26,kobieta,'\'(42.8-55.2]\'',400,2,1362,16,dobry
48,37,kobieta,'\'(-inf-30.4]\'',300,1,901,11,dobry
48,48,mê¿czyzna,'\'(67.6-inf)\'',400,0,3181,13,dobry
48,6,mê¿czyzna,'\'(30.4-42.8]\'',600,0,1750,11,z?y
48,32,mê¿czyzna,'\'(55.2-67.6]\'',500,2,1530,13,dobry
3,7,kobieta,'\'(30.4-42.8]\'',200,2,980,12,dobry
48,62,mê¿czyzna,'\'(-inf-30.4]\'',200,0,540.62,16,z?y
48,267,mê¿czyzna,'\'(42.8-55.2]\'',300,0,3217,11,dobry
48,198,mê¿czyzna,'\'(55.2-67.6]\'',700,2,3040,13,dobry
9,24,kobieta,'\'(55.2-67.6]\'',200,0,1100,17,dobry
48,392,kobieta,'\'(42.8-55.2]\'',200,2,932.34,11,dobry
48,22,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1400,11,dobry
48,84,kobieta,'\'(55.2-67.6]\'',200,0,1229.15,13,z?y
48,42,mê¿czyzna,'\'(67.6-inf)\'',450,2,2000,13,dobry
48,180,kobieta,'\'(42.8-55.2]\'',200,2,1077,11,dobry
48,125,kobieta,'\'(67.6-inf)\'',300,2,865,13,dobry
48,75,kobieta,'\'(55.2-67.6]\'',200,0,983.97,11,dobry
48,43,kobieta,'\'(42.8-55.2]\'',300,1,1344.9,11,dobry
48,12,kobieta,'\'(55.2-67.6]\'',400,0,1107,13,dobry
48,316,kobieta,'\'(42.8-55.2]\'',200,1,967.64,11,dobry
48,184,mê¿czyzna,'\'(55.2-67.6]\'',500,1,2100,11,dobry
48,194,kobieta,'\'(67.6-inf)\'',200,1,722.05,13,dobry
48,95,kobieta,'\'(42.8-55.2]\'',300,2,911,98,dobry
7,5,kobieta,'\'(-inf-30.4]\'',300,1,1300,12,dobry
1,1,kobieta,'\'(-inf-30.4]\'',300,1,1500,12,dobry
48,158,kobieta,'\'(42.8-55.2]\'',300,2,1400,11,dobry
48,192,mê¿czyzna,'\'(67.6-inf)\'',600,0,2547,13,dobry
48,372,mê¿czyzna,'\'(55.2-67.6]\'',300,0,1528,16,dobry
48,118,kobieta,'\'(42.8-55.2]\'',300,2,992.84,11,dobry
48,243,kobieta,'\'(55.2-67.6]\'',600,2,1400,13,dobry
48,120,kobieta,'\'(67.6-inf)\'',250,0,1294,13,dobry
0,49,kobieta,'\'(42.8-55.2]\'',200,1,1100,99,dobry
48,147,mê¿czyzna,'\'(42.8-55.2]\'',800,1,2800,13,dobry
48,135,mê¿czyzna,'\'(67.6-inf)\'',300,0,1150,13,dobry
48,141,mê¿czyzna,'\'(55.2-67.6]\'',300,1,2040,13,dobry
48,122,kobieta,'\'(55.2-67.6]\'',400,0,1125,13,dobry
48,137,mê¿czyzna,'\'(67.6-inf)\'',300,2,960,13,dobry
48,69,mê¿czyzna,'\'(55.2-67.6]\'',300,0,1374.08,13,dobry
48,123,mê¿czyzna,'\'(-inf-30.4]\'',662.69,0,2837,11,dobry
48,112,kobieta,'\'(55.2-67.6]\'',400,0,1175,13,dobry
48,119,kobieta,'\'(42.8-55.2]\'',300,2,1072.89,16,dobry
0,2,mê¿czyzna,'\'(42.8-55.2]\'',300,1,1042,12,dobry
5,18,kobieta,'\'(30.4-42.8]\'',200,1,1382,12,dobry
48,59,kobieta,'\'(30.4-42.8]\'',200,2,1037.34,11,dobry
48,252,kobieta,'\'(67.6-inf)\'',200,0,1239.98,13,dobry
48,22,kobieta,'\'(42.8-55.2]\'',400,2,2200,98,dobry
48,20,mê¿czyzna,'\'(55.2-67.6]\'',396.61,2,1500,13,dobry
48,61,mê¿czyzna,'\'(30.4-42.8]\'',600,0,2002,11,z?y
48,133,kobieta,'\'(55.2-67.6]\'',300,1,634.64,16,dobry
48,180,kobieta,'\'(55.2-67.6]\'',300,0,1014,13,dobry
48,358,kobieta,'\'(42.8-55.2]\'',200,1,1493.98,11,dobry
5,35,kobieta,'\'(42.8-55.2]\'',300,2,1032,12,dobry
3,51,kobieta,'\'(30.4-42.8]\'',380.59,0,646,17,z?y
48,281,mê¿czyzna,'\'(30.4-42.8]\'',820.86,1,2100,11,dobry
48,189,kobieta,'\'(55.2-67.6]\'',356.29,0,782,13,z?y
48,116,kobieta,'\'(55.2-67.6]\'',800,2,580,13,dobry
2,16,kobieta,'\'(30.4-42.8]\'',200,1,599.03,12,dobry
48,254,kobieta,'\'(55.2-67.6]\'',400,0,634.64,13,z?y
48,5,mê¿czyzna,'\'(55.2-67.6]\'',400,0,889.38,13,z?y
3,3,mê¿czyzna,'\'(30.4-42.8]\'',700,0,5000,12,z?y
48,61,kobieta,'\'(67.6-inf)\'',300,1,1000,13,dobry
48,239,kobieta,'\'(67.6-inf)\'',450,0,720.08,13,z?y
48,48,kobieta,'\'(42.8-55.2]\'',800,2,3440,13,dobry
48,78,kobieta,'\'(30.4-42.8]\'',200,0,718.57,11,z?y
48,17,kobieta,'\'(30.4-42.8]\'',400,1,800.51,11,dobry
48,389,kobieta,'\'(42.8-55.2]\'',200,0,1133.37,11,z?y
41,26,kobieta,'\'(30.4-42.8]\'',500,0,1520.01,12,z?y
48,82,mê¿czyzna,'\'(30.4-42.8]\'',499.98,2,2200,11,dobry
48,230,kobieta,'\'(42.8-55.2]\'',600,1,2500,11,dobry
17,24,mê¿czyzna,'\'(-inf-30.4]\'',600,2,1300,12,dobry
4,146,mê¿czyzna,'\'(42.8-55.2]\'',300,2,798.8,17,dobry
17,30,mê¿czyzna,'\'(42.8-55.2]\'',500,0,1038,12,z?y
48,126,kobieta,'\'(55.2-67.6]\'',300,0,799.4,16,z?y
48,162,mê¿czyzna,'\'(55.2-67.6]\'',400,1,1473.04,16,dobry
5,3,mê¿czyzna,'\'(42.8-55.2]\'',300,0,670.8,12,z?y
48,62,mê¿czyzna,'\'(55.2-67.6]\'',500,2,1250,11,dobry
48,28,kobieta,'\'(55.2-67.6]\'',300,0,750,13,dobry
48,98,mê¿czyzna,'\'(55.2-67.6]\'',300,2,2110,13,dobry
48,29,kobieta,'\'(55.2-67.6]\'',400,1,930,13,z?y
30,9,mê¿czyzna,'\'(42.8-55.2]\'',231.22,2,1000,12,z?y
48,26,kobieta,'\'(55.2-67.6]\'',300,2,1658,13,dobry
48,62,kobieta,'\'(42.8-55.2]\'',200,2,749.28,16,dobry
48,186,kobieta,'\'(67.6-inf)\'',250,0,1016,13,dobry
48,51,kobieta,'\'(42.8-55.2]\'',600,2,3200,11,dobry
48,118,kobieta,'\'(30.4-42.8]\'',500,2,3100,11,dobry
48,118,kobieta,'\'(30.4-42.8]\'',400,2,2700,11,dobry
48,50,mê¿czyzna,'\'(55.2-67.6]\'',393.99,2,2947,11,dobry
2,1,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1027.22,12,z?y
48,61,mê¿czyzna,'\'(30.4-42.8]\'',300,2,2100,11,dobry
48,128,kobieta,'\'(67.6-inf)\'',400,2,980,16,dobry
48,4,kobieta,'\'(30.4-42.8]\'',400,0,960,11,z?y
48,98,kobieta,'\'(30.4-42.8]\'',412.72,1,1400,11,dobry
48,205,kobieta,'\'(30.4-42.8]\'',694,2,1900,11,dobry
11,4,mê¿czyzna,'\'(30.4-42.8]\'',200,1,950,12,z?y
1,9,mê¿czyzna,'\'(55.2-67.6]\'',328,2,1000,12,dobry
0,29,kobieta,'\'(42.8-55.2]\'',328.32,2,1000,12,dobry
48,85,kobieta,'\'(55.2-67.6]\'',500,2,1900,13,dobry
48,430,mê¿czyzna,'\'(55.2-67.6]\'',600,2,3335,11,dobry
48,235,kobieta,'\'(30.4-42.8]\'',377.69,1,1087,11,dobry
48,246,mê¿czyzna,'\'(42.8-55.2]\'',300,0,639.31,16,z?y
48,126,kobieta,'\'(55.2-67.6]\'',700,2,2066,13,dobry
48,24,kobieta,'\'(55.2-67.6]\'',253.12,2,975,13,dobry
48,64,mê¿czyzna,'\'(30.4-42.8]\'',1000,0,2424.72,11,z?y
48,238,mê¿czyzna,'\'(42.8-55.2]\'',500,0,2094.17,11,z?y
48,190,kobieta,'\'(42.8-55.2]\'',1000,0,2575.31,11,z?y
48,173,mê¿czyzna,'\'(55.2-67.6]\'',500,0,2250.05,11,dobry
17,19,mê¿czyzna,'\'(55.2-67.6]\'',300,2,1100,12,dobry
48,52,kobieta,'\'(55.2-67.6]\'',700,0,1977,13,dobry
48,163,kobieta,'\'(30.4-42.8]\'',200,0,993.48,11,z?y
48,159,kobieta,'\'(67.6-inf)\'',200,2,1134.96,13,dobry
48,94,mê¿czyzna,'\'(55.2-67.6]\'',200,1,1287.66,13,dobry
48,99,mê¿czyzna,'\'(55.2-67.6]\'',200,2,1538,13,dobry
48,75,mê¿czyzna,'\'(67.6-inf)\'',300,2,1426,13,dobry
23,0,mê¿czyzna,'\'(55.2-67.6]\'',200,0,1200,12,z?y
48,8,kobieta,'\'(55.2-67.6]\'',300,1,980,98,dobry
4,7,mê¿czyzna,'\'(42.8-55.2]\'',300,2,670,12,dobry
48,199,mê¿czyzna,'\'(42.8-55.2]\'',500,2,3178,98,dobry
48,36,kobieta,'\'(55.2-67.6]\'',517.26,2,1801.41,13,dobry
48,276,mê¿czyzna,'\'(30.4-42.8]\'',1100,2,2875.71,11,dobry
4,19,kobieta,'\'(30.4-42.8]\'',300,0,1030,12,z?y
48,245,kobieta,'\'(67.6-inf)\'',200,2,1026,13,dobry
48,222,kobieta,'\'(67.6-inf)\'',200,2,1185.33,13,dobry
48,35,kobieta,'\'(30.4-42.8]\'',900,0,2200,11,dobry
48,195,mê¿czyzna,'\'(67.6-inf)\'',200,1,957.2,13,dobry
48,142,kobieta,'\'(55.2-67.6]\'',336.83,1,815,13,dobry
48,111,kobieta,'\'(55.2-67.6]\'',400,0,840,13,dobry
48,83,kobieta,'\'(55.2-67.6]\'',300,0,933.05,13,z?y
48,24,kobieta,'\'(55.2-67.6]\'',1000,0,1820,16,z?y
48,44,kobieta,'\'(30.4-42.8]\'',285.97,2,1200,98,dobry
8,3,kobieta,'\'(30.4-42.8]\'',200,2,1032.34,12,dobry
48,14,mê¿czyzna,'\'(-inf-30.4]\'',1000,0,1510.08,11,z?y
48,7,kobieta,'\'(30.4-42.8]\'',300,2,1027,12,dobry
