@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
6,17,kobieta,'\'(30.4-42.8]\'',200,0,1382,12,dobry
48,191,kobieta,'\'(67.6-inf)\'',200,1,866.46,13,dobry
48,3,kobieta,'\'(55.2-67.6]\'',300,0,825.69,13,z?y
22,1,mê¿czyzna,'\'(30.4-42.8]\'',296.54,1,1030,12,dobry
48,183,mê¿czyzna,'\'(55.2-67.6]\'',400,0,2100,11,dobry
48,113,kobieta,'\'(67.6-inf)\'',200,1,1800,13,dobry
48,44,mê¿czyzna,'\'(55.2-67.6]\'',200,0,650.77,16,dobry
48,118,kobieta,'\'(42.8-55.2]\'',300,1,1072.89,16,dobry
48,140,mê¿czyzna,'\'(55.2-67.6]\'',300,0,2040,13,dobry
48,97,kobieta,'\'(42.8-55.2]\'',400,0,1200,11,z?y
48,132,kobieta,'\'(55.2-67.6]\'',300,0,634.64,16,dobry
1,1,mê¿czyzna,'\'(42.8-55.2]\'',300,0,1042,12,dobry
48,24,mê¿czyzna,'\'(30.4-42.8]\'',400,1,3500,11,dobry
1,1,mê¿czyzna,'\'(30.4-42.8]\'',300,0,1200,12,z?y
48,58,kobieta,'\'(30.4-42.8]\'',200,1,1037.34,11,dobry
48,218,kobieta,'\'(55.2-67.6]\'',200,1,714,13,dobry
48,92,mê¿czyzna,'\'(55.2-67.6]\'',300,0,1287.66,13,dobry
48,21,kobieta,'\'(42.8-55.2]\'',500,1,2200,98,dobry
48,101,mê¿czyzna,'\'(30.4-42.8]\'',200,0,2300,11,z?y
48,345,mê¿czyzna,'\'(42.8-55.2]\'',200,0,1566.82,11,dobry
48,399,kobieta,'\'(42.8-55.2]\'',200,0,1071.61,11,dobry
48,16,kobieta,'\'(30.4-42.8]\'',400,0,800.51,11,dobry
10,22,kobieta,'\'(42.8-55.2]\'',500,1,1500,12,z?y
18,5,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1400,12,dobry
8,7,kobieta,'\'(-inf-30.4]\'',200,0,1134.4,12,z?y
48,315,kobieta,'\'(42.8-55.2]\'',200,0,967.64,11,dobry
48,116,kobieta,'\'(55.2-67.6]\'',200,1,1635,13,dobry
48,274,mê¿czyzna,'\'(30.4-42.8]\'',1100,1,2875.71,11,dobry
48,60,kobieta,'\'(67.6-inf)\'',300,0,1000,13,dobry
48,242,kobieta,'\'(55.2-67.6]\'',400,1,1400,13,dobry
48,78,mê¿czyzna,'\'(67.6-inf)\'',500,0,2612,13,dobry
48,28,kobieta,'\'(55.2-67.6]\'',400,0,930,13,dobry
18,18,mê¿czyzna,'\'(55.2-67.6]\'',300,1,1100,12,dobry
48,204,kobieta,'\'(30.4-42.8]\'',694,1,1900,11,dobry
48,140,kobieta,'\'(55.2-67.6]\'',300,0,815,13,dobry
48,19,mê¿czyzna,'\'(55.2-67.6]\'',500,1,1500,13,dobry
3,0,mê¿czyzna,'\'(-inf-30.4]\'',300,0,1300,12,z?y
48,60,mê¿czyzna,'\'(30.4-42.8]\'',300,1,2100,11,dobry
10,23,kobieta,'\'(55.2-67.6]\'',200,0,1100,17,dobry
48,357,kobieta,'\'(42.8-55.2]\'',200,0,1493.98,11,dobry
48,97,kobieta,'\'(30.4-42.8]\'',421.62,0,1400,11,dobry
48,12,mê¿czyzna,'\'(55.2-67.6]\'',500,0,1272,13,dobry
48,310,kobieta,'\'(42.8-55.2]\'',1239.88,1,1638,11,dobry
48,229,kobieta,'\'(42.8-55.2]\'',600,0,2500,11,dobry
48,109,kobieta,'\'(55.2-67.6]\'',200,1,840,13,dobry
12,3,mê¿czyzna,'\'(30.4-42.8]\'',200,0,950,12,dobry
48,93,kobieta,'\'(30.4-42.8]\'',500,0,2825,11,z?y
48,125,kobieta,'\'(55.2-67.6]\'',700,1,2066,13,dobry
48,180,kobieta,'\'(55.2-67.6]\'',300,0,1094,13,dobry
48,159,kobieta,'\'(55.2-67.6]\'',600,1,1400,11,dobry
48,220,kobieta,'\'(67.6-inf)\'',200,1,1185.33,13,dobry
48,25,kobieta,'\'(55.2-67.6]\'',300,1,1658,13,dobry
48,84,kobieta,'\'(55.2-67.6]\'',500,1,1900,13,dobry
48,108,mê¿czyzna,'\'(67.6-inf)\'',200,0,770,13,z?y
11,0,mê¿czyzna,'\'(42.8-55.2]\'',200,0,1952.35,12,dobry
19,5,mê¿czyzna,'\'(42.8-55.2]\'',200,1,1030,12,dobry
48,175,kobieta,'\'(42.8-55.2]\'',300,1,2065.98,11,dobry
7,16,mê¿czyzna,'\'(30.4-42.8]\'',300,0,1884.29,12,dobry
48,50,kobieta,'\'(42.8-55.2]\'',600,1,3200,11,dobry
48,110,mê¿czyzna,'\'(55.2-67.6]\'',1000,0,2031,11,dobry
48,37,mê¿czyzna,'\'(-inf-30.4]\'',400,0,3000,11,dobry
6,5,mê¿czyzna,'\'(42.8-55.2]\'',300,1,670,12,dobry
48,193,kobieta,'\'(67.6-inf)\'',350,1,1721,13,z?y
48,5,kobieta,'\'(55.2-67.6]\'',200,0,1029.7,13,z?y
