status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
windykacja,11,1110,0,600,25,mê¿czyzna,7,48,4983
splacona,13,930,2,670.73,63,kobieta,91,48,11
windykacja,11,1500,1,500,33,mê¿czyzna,99,48,4982
windykacja_sp,11,1033,1,400,33,mê¿czyzna,33,48,303
splacona,13,1160,1,500,61,kobieta,75,48,3
splacona_cz,13,1244.77,2,300,58,kobieta,36,48,4
splacona,13,930,2,200,72,kobieta,236,48,0
splacona_cz,13,1200,2,500,70,kobieta,116,48,16
splacona_cz,13,2015.55,0,600,69,mê¿czyzna,108,48,5
splacona_cz,13,1085,2,400,67,kobieta,163,48,3
splacona_cz,11,2700,2,500,30,mê¿czyzna,61,48,2
splacona,11,980.11,2,400,34,kobieta,42,48,10
odmowa,12,1139.48,0,500,19,mê¿czyzna,3,17,0
splacona,13,866.46,2,200,73,kobieta,192,48,0
splacona_cz,13,1872,2,700,58,kobieta,32,48,2
splacona_cz,12,2673.17,2,600,51,mê¿czyzna,109,48,5
splacona_cz,13,1400,1,400,59,kobieta,51,48,0
splacona_cz,11,1700,1,500,36,kobieta,194,48,5
windykacja,11,2700,1,400,35,mê¿czyzna,5,48,4982
splacona_cz,16,1770,2,500,58,mê¿czyzna,86,48,0
splacona_cz,98,4000,2,500.8,35,kobieta,16,48,2
splacona_cz,11,2670,2,1000,60,kobieta,85,48,6
odmowa,13,625.86,0,250,73,mê¿czyzna,254,48,0
splacona_cz,17,728,2,200,27,mê¿czyzna,97,33,2
odmowa,13,757.1,0,200,67,kobieta,195,48,0
splacona_cz,13,2113.24,1,200,64,kobieta,58,48,0
splacona_cz,16,685,0,300,52,kobieta,38,48,0
splacona_cz,11,1906.42,0,400,60,kobieta,209,48,0
windykacja,13,1561.87,1,281.29,57,mê¿czyzna,194,48,4980
splacona_cz,12,984.34,1,200,53,kobieta,15,5,0
splacona_cz,13,907,0,200,70,kobieta,231,48,0
splacona_cz,11,1721.7,2,385.97,54,kobieta,117,48,0
splacona,16,726,2,300,59,mê¿czyzna,230,48,336
splacona,13,936,2,300,60,kobieta,28,48,0
splacona_cz,13,1900,2,500,56,mê¿czyzna,147,48,0
splacona_cz,13,1817.24,0,400,57,kobieta,15,48,0
odmowa,98,520,0,200,33,kobieta,26,48,0
windykacja_sp,16,1100,2,850,69,mê¿czyzna,134,48,190
splacona_cz,11,1730.13,0,400,56,kobieta,190,48,1
splacona_cz,11,2709.34,2,337.64,35,kobieta,178,48,0
splacona_cz,13,1399.99,0,300,61,kobieta,12,48,1
splacona_cz,12,1963.88,1,400,44,mê¿czyzna,3,2,0
splacona_cz,13,1050,2,600,61,kobieta,136,48,0
windykacja_sp,17,926,2,520.7,24,mê¿czyzna,53,1,400
windykacja_sp,17,926,2,356.68,24,mê¿czyzna,53,1,400
splacona_cz,11,1443,2,600,43,kobieta,31,48,1
splacona_cz,13,1820,2,1000,61,kobieta,66,48,0
splacona_cz,13,2100,2,1000,73,kobieta,52,48,23
splacona,16,650.77,0,200,64,mê¿czyzna,45,48,3
windykacja,13,784,1,300,60,kobieta,36,48,4980
splacona_cz,11,1000,2,300,30,mê¿czyzna,54,48,3
splacona_cz,13,1026,2,300,60,kobieta,52,48,11
splacona_cz,11,1500,1,200,57,mê¿czyzna,392,48,1
splacona,13,1420,1,200,70,mê¿czyzna,50,48,0
splacona,13,1217,0,400,65,mê¿czyzna,48,48,0
splacona_cz,16,1362,2,400,53,kobieta,26,48,0
splacona_cz,11,901,1,300,28,kobieta,37,48,0
splacona,13,3181,0,400,69,mê¿czyzna,48,48,0
odmowa,11,1750,0,600,33,mê¿czyzna,6,48,0
splacona,13,1530,2,500,64,mê¿czyzna,32,48,5
splacona_cz,12,980,2,200,31,kobieta,7,3,1
odmowa,16,540.62,0,200,23,mê¿czyzna,62,48,0
splacona_cz,11,3217,0,300,44,mê¿czyzna,267,48,0
splacona_cz,13,3040,2,700,65,mê¿czyzna,198,48,0
splacona_cz,17,1100,0,200,56,kobieta,24,9,0
splacona_cz,11,932.34,2,200,51,kobieta,392,48,0
splacona,11,1400,0,300,23,mê¿czyzna,22,48,0
odmowa,13,1229.15,0,200,61,kobieta,84,48,0
splacona_cz,13,2000,2,450,68,mê¿czyzna,42,48,1
splacona,11,1077,2,200,55,kobieta,180,48,0
splacona_cz,13,865,2,300,70,kobieta,125,48,0
splacona_cz,11,983.97,0,200,57,kobieta,75,48,0
splacona_cz,11,1344.9,1,300,45,kobieta,43,48,4
splacona_cz,13,1107,0,400,60,kobieta,12,48,0
splacona_cz,11,967.64,1,200,48,kobieta,316,48,4
splacona_cz,11,2100,1,500,60,mê¿czyzna,184,48,1
splacona_cz,13,722.05,1,200,71,kobieta,194,48,0
splacona_cz,98,911,2,300,46,kobieta,95,48,0
splacona_cz,12,1300,1,300,26,kobieta,5,7,0
splacona_cz,12,1500,1,300,22,kobieta,1,1,0
splacona_cz,11,1400,2,300,52,kobieta,158,48,5
splacona,13,2547,0,600,80,mê¿czyzna,192,48,0
splacona_cz,16,1528,0,300,58,mê¿czyzna,372,48,6
splacona_cz,11,992.84,2,300,49,kobieta,118,48,0
splacona_cz,13,1400,2,600,59,kobieta,243,48,0
splacona,13,1294,0,250,70,kobieta,120,48,0
splacona,99,1100,1,200,53,kobieta,49,0,0
splacona,13,2800,1,800,54,mê¿czyzna,147,48,0
splacona,13,1150,0,300,75,mê¿czyzna,135,48,28
splacona,13,2040,1,300,63,mê¿czyzna,141,48,14
splacona_cz,13,1125,0,400,65,kobieta,122,48,0
splacona_cz,13,960,2,300,73,mê¿czyzna,137,48,7
splacona,13,1374.08,0,300,64,mê¿czyzna,69,48,1
splacona,11,2837,0,662.69,30,mê¿czyzna,123,48,21
splacona_cz,13,1175,0,400,65,kobieta,112,48,0
splacona_cz,16,1072.89,2,300,55,kobieta,119,48,0
splacona,12,1042,1,300,49,mê¿czyzna,2,0,12
splacona_cz,12,1382,1,200,37,kobieta,18,5,0
splacona_cz,11,1037.34,2,200,41,kobieta,59,48,0
splacona,13,1239.98,0,200,78,kobieta,252,48,0
splacona_cz,98,2200,2,400,47,kobieta,22,48,0
splacona_cz,13,1500,2,396.61,61,mê¿czyzna,20,48,1
odmowa,11,2002,0,600,36,mê¿czyzna,61,48,0
splacona_cz,16,634.64,1,300,57,kobieta,133,48,0
splacona_cz,13,1014,0,300,63,kobieta,180,48,7
splacona_cz,11,1493.98,1,200,47,kobieta,358,48,0
splacona_cz,12,1032,2,300,46,kobieta,35,5,3
windykacja,17,646,0,380.59,40,kobieta,51,3,4976
splacona,11,2100,1,820.86,42,mê¿czyzna,281,48,334
windykacja_sp,13,782,0,356.29,57,kobieta,189,48,209
splacona_cz,13,580,2,800,56,kobieta,116,48,2
splacona_cz,12,599.03,1,200,37,kobieta,16,2,5
odmowa,13,634.64,0,400,62,kobieta,254,48,0
odmowa,13,889.38,0,400,65,mê¿czyzna,5,48,0
odmowa,12,5000,0,700,42,mê¿czyzna,3,3,0
splacona,13,1000,1,300,70,kobieta,61,48,0
odmowa,13,720.08,0,450,76,kobieta,239,48,0
splacona_cz,13,3440,2,800,55,kobieta,48,48,6
odmowa,11,718.57,0,200,41,kobieta,78,48,0
splacona,11,800.51,1,400,38,kobieta,17,48,13
odmowa,11,1133.37,0,200,53,kobieta,389,48,0
odmowa,12,1520.01,0,500,38,kobieta,26,41,0
splacona,11,2200,2,499.98,35,mê¿czyzna,82,48,18
splacona,11,2500,1,600,49,kobieta,230,48,0
splacona_cz,12,1300,2,600,29,mê¿czyzna,24,17,6
splacona_cz,17,798.8,2,300,54,mê¿czyzna,146,4,6
odmowa,12,1038,0,500,50,mê¿czyzna,30,17,0
odmowa,16,799.4,0,300,59,kobieta,126,48,0
splacona,16,1473.04,1,400,65,mê¿czyzna,162,48,3
odmowa,12,670.8,0,300,50,mê¿czyzna,3,5,0
splacona,11,1250,2,500,61,mê¿czyzna,62,48,14
splacona,13,750,0,300,62,kobieta,28,48,0
splacona_cz,13,2110,2,300,66,mê¿czyzna,98,48,0
windykacja_sp,13,930,1,400,59,kobieta,29,48,436
windykacja_sp,12,1000,2,231.22,52,mê¿czyzna,9,30,437
splacona_cz,13,1658,2,300,59,kobieta,26,48,1
splacona_cz,16,749.28,2,200,53,kobieta,62,48,2
splacona_cz,13,1016,0,250,70,kobieta,186,48,0
splacona_cz,11,3200,2,600,51,kobieta,51,48,1
splacona_cz,11,3100,2,500,32,kobieta,118,48,0
splacona_cz,11,2700,2,400,37,kobieta,118,48,0
splacona_cz,11,2947,2,393.99,59,mê¿czyzna,50,48,3
odmowa,12,1027.22,0,300,24,mê¿czyzna,1,2,0
splacona,11,2100,2,300,33,mê¿czyzna,61,48,9
splacona_cz,16,980,2,400,68,kobieta,128,48,1
odmowa,11,960,0,400,42,kobieta,4,48,0
splacona,11,1400,1,412.72,33,kobieta,98,48,9
splacona_cz,11,1900,2,694,38,kobieta,205,48,3
windykacja,12,950,1,200,37,mê¿czyzna,4,11,4973
splacona_cz,12,1000,2,328,60,mê¿czyzna,9,1,4
splacona_cz,12,1000,2,328.32,50,kobieta,29,0,4
splacona_cz,13,1900,2,500,62,kobieta,85,48,1
splacona_cz,11,3335,2,600,56,mê¿czyzna,430,48,2
splacona_cz,11,1087,1,377.69,40,kobieta,235,48,5
odmowa,16,639.31,0,300,51,mê¿czyzna,246,48,0
splacona_cz,13,2066,2,700,61,kobieta,126,48,1
splacona_cz,13,975,2,253.12,61,kobieta,24,48,3
odmowa,11,2424.72,0,1000,38,mê¿czyzna,64,48,0
odmowa,11,2094.17,0,500,53,mê¿czyzna,238,48,0
odmowa,11,2575.31,0,1000,54,kobieta,190,48,0
splacona_cz,11,2250.05,0,500,61,mê¿czyzna,173,48,1
splacona_cz,12,1100,2,300,65,mê¿czyzna,19,17,1
splacona_cz,13,1977,0,700,61,kobieta,52,48,3
odmowa,11,993.48,0,200,41,kobieta,163,48,0
splacona,13,1134.96,2,200,68,kobieta,159,48,16
splacona_cz,13,1287.66,1,200,63,mê¿czyzna,94,48,2
splacona_cz,13,1538,2,200,63,mê¿czyzna,99,48,3
splacona_cz,13,1426,2,300,71,mê¿czyzna,75,48,0
odmowa,12,1200,0,200,59,mê¿czyzna,0,23,0
splacona_cz,98,980,1,300,56,kobieta,8,48,1
splacona_cz,12,670,2,300,45,mê¿czyzna,7,4,0
splacona_cz,98,3178,2,500,43,mê¿czyzna,199,48,2
splacona,13,1801.41,2,517.26,58,kobieta,36,48,10
splacona_cz,11,2875.71,2,1100,42,mê¿czyzna,276,48,6
odmowa,12,1030,0,300,39,kobieta,19,4,0
splacona_cz,13,1026,2,200,74,kobieta,245,48,1
splacona_cz,13,1185.33,2,200,71,kobieta,222,48,0
splacona,11,2200,0,900,33,kobieta,35,48,0
splacona,13,957.2,1,200,74,mê¿czyzna,195,48,264
splacona,13,815,1,336.83,67,kobieta,142,48,0
splacona_cz,13,840,0,400,64,kobieta,111,48,0
odmowa,13,933.05,0,300,63,kobieta,83,48,0
odmowa,16,1820,0,1000,59,kobieta,24,48,0
splacona_cz,98,1200,2,285.97,38,kobieta,44,48,2
splacona_cz,12,1032.34,2,200,31,kobieta,3,8,0
odmowa,11,1510.08,0,1000,30,mê¿czyzna,14,48,0
splacona_cz,12,1027,2,300,39,kobieta,7,48,5
splacona_cz,11,1770,2,277.34,39,kobieta,85,48,1
splacona_cz,13,3700,2,800,62,kobieta,25,48,0
odmowa,11,1032,0,200,24,mê¿czyzna,25,48,0
splacona,11,3500,2,400,42,mê¿czyzna,26,48,139
splacona_cz,11,1400,2,200,54,kobieta,115,48,1
splacona_cz,11,763,2,300,46,kobieta,91,48,1
splacona_cz,13,1083.23,0,200,58,kobieta,95,48,1
splacona,13,1272,1,500,62,mê¿czyzna,14,48,270
splacona_cz,99,685,2,250,62,mê¿czyzna,3,0,4
splacona,13,1519,0,200,78,mê¿czyzna,252,48,0
splacona_cz,13,803.86,2,200,68,kobieta,156,48,1
odmowa,12,1743,0,800,31,mê¿czyzna,11,5,0
odmowa,12,961,0,500,63,mê¿czyzna,76,4,0
splacona_cz,13,1193.65,1,400,63,mê¿czyzna,7,48,1
splacona,11,1566.82,0,200,46,mê¿czyzna,347,48,0
odmowa,12,1032.34,0,500,25,mê¿czyzna,15,16,0
splacona_cz,13,1031,0,200,66,kobieta,119,48,0
splacona,13,1149.06,1,400,60,kobieta,159,48,47
splacona,13,1412,2,400,73,kobieta,202,48,19
splacona,13,1591,2,381.29,66,mê¿czyzna,74,48,12
splacona,16,755.1,1,200,64,kobieta,132,48,12
splacona_cz,11,2065.98,2,327,52,kobieta,177,48,7
splacona,12,1400,1,300,28,mê¿czyzna,7,16,5
splacona,12,1500,0,800,35,mê¿czyzna,31,4,0
splacona,13,860,2,789.27,63,kobieta,78,48,11
odmowa,11,1079,0,300,52,kobieta,175,48,0
splacona_cz,11,2800,2,400,54,kobieta,58,48,3
splacona,13,1167.94,0,200,79,kobieta,367,48,0
splacona,13,2802,2,700,72,mê¿czyzna,245,48,307
splacona_cz,16,1045,1,200,50,mê¿czyzna,197,48,0
windykacja,17,1485,2,500,58,mê¿czyzna,141,45,4968
odmowa,12,1035,0,200,24,mê¿czyzna,2,0,0
splacona_cz,11,1300,2,300,39,mê¿czyzna,43,48,0
odmowa,12,1792,0,800,43,kobieta,156,1,0
splacona_cz,13,1162,2,200,62,mê¿czyzna,219,48,2
splacona,13,1094,1,300,67,kobieta,182,48,4
splacona_cz,13,1635,2,200,60,kobieta,118,48,0
odmowa,98,30000,0,1000,41,mê¿czyzna,73,48,0
odmowa,11,1033.52,0,300,39,kobieta,75,48,0
splacona_cz,13,917,0,300,63,kobieta,74,48,0
splacona_cz,13,2120,2,600,68,kobieta,117,48,3
splacona,13,985.9,0,200,62,kobieta,88,48,292
splacona_cz,16,1313.41,2,400,62,mê¿czyzna,26,48,0
splacona_cz,13,1233,1,400,63,kobieta,121,48,0
splacona_cz,13,1611,0,300,65,mê¿czyzna,139,48,3
splacona_cz,13,819,0,200,57,mê¿czyzna,55,48,0
splacona_cz,13,714,3,500,62,kobieta,220,48,1
splacona_cz,11,3000,2,500,45,kobieta,91,48,0
windykacja_sp,13,919,2,470.41,66,kobieta,139,48,430
splacona_cz,98,5000,1,600,41,kobieta,82,48,7
splacona_cz,12,700,2,250,40,mê¿czyzna,7,16,8
splacona_cz,13,951,2,500,73,kobieta,160,48,1
splacona_cz,13,1013.74,2,400,65,kobieta,111,48,1
splacona_cz,11,1500,1,400,58,kobieta,83,48,1
odmowa,13,1145.25,0,200,58,kobieta,21,48,0
windykacja,11,1200,2,300,38,kobieta,188,48,4966
splacona_cz,13,1525.46,2,521.49,62,kobieta,34,48,0
splacona_cz,13,5100,2,700,61,kobieta,26,48,0
splacona,11,2327.94,0,200,24,mê¿czyzna,33,48,0
splacona_cz,12,1030,2,241.15,54,mê¿czyzna,7,17,5
splacona,11,2000,0,600,46,mê¿czyzna,49,48,0
splacona_cz,16,2300,3,900,55,kobieta,61,48,0
odmowa,11,1796,0,400,48,kobieta,311,48,0
splacona_cz,12,660,2,400,40,kobieta,10,28,3
splacona_cz,12,1009.34,1,300,55,kobieta,27,40,2
splacona,12,1030,2,200,51,mê¿czyzna,7,48,11
splacona,12,1600,0,400,56,mê¿czyzna,33,27,0
splacona_cz,13,1425,0,400,60,kobieta,77,48,1
splacona_cz,12,1350,2,281.29,55,kobieta,20,4,1
splacona_cz,12,1000,3,200,24,mê¿czyzna,10,15,8
splacona_cz,12,1675,2,600,54,kobieta,7,4,2
odmowa,13,717.96,0,500,66,kobieta,79,48,0
splacona_cz,12,1800,2,700,28,mê¿czyzna,9,0,0
odmowa,12,1227,0,300,20,mê¿czyzna,1,11,0
splacona,13,856,2,200,64,kobieta,55,48,1
splacona,11,2700,1,300,39,mê¿czyzna,7,48,0
windykacja_sp,13,1300,1,300,66,mê¿czyzna,76,48,345
splacona_cz,13,1684,2,400,61,kobieta,18,48,1
splacona,11,1800,0,200,57,mê¿czyzna,159,48,0
splacona_cz,12,1600,2,498.47,31,kobieta,12,0,1
splacona_cz,13,616,2,200,75,kobieta,244,48,1
odmowa,12,900,0,300,67,mê¿czyzna,6,1,0
splacona_cz,13,984,1,200,61,kobieta,9,48,0
odmowa,13,1650,0,700,65,kobieta,127,48,0
splacona_cz,11,1000,2,275.97,41,kobieta,59,48,8
odmowa,11,2324,0,400,46,mê¿czyzna,43,48,0
splacona_cz,12,1574.45,1,445.67,47,mê¿czyzna,29,6,1
splacona_cz,11,1700,2,300,54,mê¿czyzna,37,48,4
splacona_cz,12,830.46,1,600,47,kobieta,43,28,1
splacona_cz,16,634,1,200,58,kobieta,49,48,0
splacona,13,1160,0,200,75,kobieta,209,48,0
splacona_cz,13,1500,2,200,58,kobieta,44,48,0
windykacja,16,633.56,2,250,64,mê¿czyzna,109,48,4963
splacona_cz,13,910.33,2,200,73,mê¿czyzna,161,48,8
odmowa,11,2139,0,500,49,kobieta,84,48,0
odmowa,11,1433,0,400,41,kobieta,158,48,0
splacona,12,2000,2,227.13,53,kobieta,7,19,2
splacona_cz,16,703,2,200,57,kobieta,24,48,1
splacona_cz,17,684,2,900,58,kobieta,188,21,1
odmowa,12,1200,0,300,22,mê¿czyzna,3,20,0
odmowa,99,761,0,400,37,mê¿czyzna,0,12,0
splacona,13,640,0,500,72,kobieta,137,48,1
odmowa,13,3519,0,1000,60,mê¿czyzna,108,48,0
splacona_cz,13,965,2,200,75,kobieta,243,48,1
splacona_cz,11,2353,2,1569.98,48,mê¿czyzna,97,48,8
splacona_cz,13,802.83,2,200,65,kobieta,199,48,4
splacona_cz,13,1137.19,2,400,66,kobieta,94,48,0
splacona_cz,11,1000,2,800,60,mê¿czyzna,61,48,3
splacona,13,2421.55,2,1000,80,kobieta,243,48,13
splacona_cz,13,3600,1,1000,57,mê¿czyzna,84,48,1
splacona,13,1601.87,1,350,64,mê¿czyzna,43,48,10
splacona_cz,13,1239,2,300,77,kobieta,268,48,1
odmowa,11,2215,0,900,39,mê¿czyzna,204,48,0
splacona,13,1100,1,200,59,kobieta,41,48,0
odmowa,11,950,0,500,40,kobieta,178,48,0
splacona_cz,11,1261.98,2,400,40,mê¿czyzna,34,48,0
windykacja,16,1138.01,0,300,73,kobieta,5,48,4962
splacona_cz,16,837,1,350,61,mê¿czyzna,229,48,0
splacona_cz,12,990.34,1,200,46,kobieta,54,18,0
splacona_cz,13,930,3,800,65,kobieta,129,48,0
splacona_cz,11,3170,2,400,47,kobieta,283,48,0
splacona_cz,12,600,3,400,47,mê¿czyzna,7,20,1
splacona_cz,11,1459,0,300,26,mê¿czyzna,7,48,5
splacona_cz,13,1130,2,300,62,kobieta,101,48,3
windykacja_sp,16,906.07,0,200,52,kobieta,10,48,263
splacona_cz,12,1400,1,300,25,mê¿czyzna,10,22,1
splacona_cz,11,2100,1,300,45,mê¿czyzna,48,48,1
splacona_cz,13,1428.55,2,235.97,66,kobieta,135,48,0
splacona,16,655,2,500,53,kobieta,29,48,152
splacona_cz,11,1800,2,300,33,mê¿czyzna,163,48,1
splacona_cz,13,1474.55,1,400,62,kobieta,63,48,0
splacona_cz,11,1617.68,1,200,52,kobieta,83,48,5
windykacja,13,1768.93,2,500,63,mê¿czyzna,267,48,4962
splacona_cz,11,1400,2,200,49,mê¿czyzna,12,48,1
splacona_cz,11,5800,2,900,47,kobieta,52,48,0
odmowa,12,1440,0,200,43,mê¿czyzna,3,8,0
splacona_cz,13,1189,2,265.58,62,kobieta,68,48,0
splacona_cz,11,1172.2,2,400,56,kobieta,35,48,2
splacona,16,1340,2,500,63,kobieta,159,48,6
splacona,13,1672.59,1,200,62,mê¿czyzna,20,48,0
splacona_cz,17,1031,1,350,53,kobieta,49,11,6
splacona_cz,13,1000,2,500,60,kobieta,66,48,2
odmowa,16,931.37,0,200,67,kobieta,210,48,0
splacona_cz,13,1817.24,1,400,57,kobieta,16,48,0
splacona,11,1510,2,900,58,mê¿czyzna,164,48,151
odmowa,12,1000,0,1000,45,kobieta,52,20,0
odmowa,12,1033,0,500,34,kobieta,1,0,0
odmowa,12,1200,0,250,32,kobieta,3,6,0
splacona_cz,13,997,2,300,61,kobieta,77,48,0
splacona_cz,13,1212,2,500,60,kobieta,52,48,0
splacona_cz,11,1680,2,300,57,kobieta,383,48,2
splacona_cz,13,720.19,0,200,67,kobieta,91,48,0
splacona,11,1638,0,1283.66,52,kobieta,312,48,17
splacona_cz,11,1700,2,600,47,kobieta,87,48,2
splacona,13,1442.43,3,200,79,kobieta,139,48,0
splacona,11,1400,2,600,58,kobieta,161,48,188
splacona_cz,11,2800,2,600,49,kobieta,317,48,3
splacona_cz,13,3541.9,0,369.53,72,kobieta,125,48,2
splacona,11,2100,1,500,27,kobieta,21,48,0
splacona_cz,11,1290,2,600,32,kobieta,17,48,2
splacona,12,1884.29,0,300,39,mê¿czyzna,18,5,0
splacona_cz,13,730,1,200,72,kobieta,559,48,0
odmowa,11,1542.33,0,500,43,kobieta,276,48,0
splacona_cz,11,2284.23,0,400,43,mê¿czyzna,298,48,0
splacona_cz,16,959.6,2,200,69,kobieta,113,48,0
splacona_cz,99,1393.85,1,200,29,mê¿czyzna,3,0,1
splacona_cz,13,2010,1,717.26,64,mê¿czyzna,136,48,1
splacona_cz,13,12220,1,200,57,mê¿czyzna,69,48,1
odmowa,11,2700,0,1000,43,mê¿czyzna,144,48,0
splacona_cz,16,892,1,500,65,kobieta,199,48,0
splacona,11,1360,3,200,46,mê¿czyzna,118,48,0
splacona_cz,12,1050,1,295.97,52,kobieta,32,4,0
splacona_cz,12,1200,2,300,35,kobieta,7,7,0
splacona,13,1210,1,300,65,kobieta,136,48,26
splacona_cz,11,3200,2,700,52,mê¿czyzna,187,48,0
splacona_cz,16,1045.6,3,450,54,kobieta,10,48,0
splacona_cz,13,1350,1,300,65,kobieta,109,48,3
windykacja,11,1800,2,600,48,mê¿czyzna,124,48,4959
odmowa,12,1200,0,300,35,kobieta,0,24,0
splacona,11,2249.14,2,500,57,kobieta,239,48,18
splacona,13,785,2,200,72,kobieta,62,48,0
splacona_cz,13,1688.82,1,300,46,mê¿czyzna,97,48,2
splacona,11,1400,0,300,23,mê¿czyzna,23,48,0
splacona_cz,11,4000,3,400,53,mê¿czyzna,8,48,1
splacona,12,1037.34,1,300,30,mê¿czyzna,18,6,0
splacona_cz,99,750,2,300,19,mê¿czyzna,2,3,0
splacona_cz,13,611,1,300,57,kobieta,137,48,1
splacona_cz,13,2098,2,700,75,mê¿czyzna,195,48,0
odmowa,11,1585,0,500,22,mê¿czyzna,2,48,0
splacona_cz,13,1700,2,500,72,mê¿czyzna,12,48,2
windykacja,13,940,2,300,69,mê¿czyzna,51,48,4959
splacona_cz,11,1700,2,500,51,kobieta,304,48,4
odmowa,12,1600,0,800,30,kobieta,72,41,0
splacona_cz,11,1842.86,1,400,56,mê¿czyzna,6,48,0
splacona_cz,13,3900,3,300,49,mê¿czyzna,28,48,0
odmowa,16,461.6,0,200,58,mê¿czyzna,378,48,0
splacona_cz,11,2470,3,426.61,49,kobieta,352,48,0
splacona_cz,11,1320,2,500,53,mê¿czyzna,340,48,0
splacona_cz,11,1239.05,0,400,39,kobieta,202,48,7
splacona,13,1261.6,2,400,64,mê¿czyzna,51,48,368
splacona,12,3000,0,700,37,mê¿czyzna,6,4,34
splacona,13,1240,3,300,58,kobieta,68,48,0
splacona_cz,13,936,0,500,60,kobieta,29,48,0
splacona_cz,13,1026,3,200,74,kobieta,245,48,0
splacona_cz,12,1952.35,2,400,44,mê¿czyzna,2,9,0
splacona_cz,11,1400,3,300,43,kobieta,23,48,4
splacona_cz,13,2612,1,1800,72,mê¿czyzna,80,48,0
splacona_cz,13,1170,1,400,61,kobieta,76,48,0
splacona_cz,11,1077.49,2,300,48,kobieta,370,48,0
odmowa,12,2187.11,0,600,27,mê¿czyzna,30,5,0
splacona_cz,11,2927,1,496.61,38,kobieta,199,48,0
splacona_cz,12,2500,1,800,57,mê¿czyzna,3,0,1
splacona_cz,17,985,3,200,20,mê¿czyzna,11,0,0
splacona_cz,11,2258,3,1000,42,mê¿czyzna,73,48,0
splacona_cz,13,1090.14,2,400,61,kobieta,73,48,0
splacona_cz,11,1680,3,649.84,57,kobieta,68,48,0
splacona_cz,11,1700,3,238.78,53,kobieta,203,48,0
splacona_cz,13,1072,3,500,69,kobieta,151,48,5
splacona_cz,13,729.03,3,300,70,kobieta,255,48,0
odmowa,16,1124,0,500,69,kobieta,135,48,0
splacona_cz,16,1389,2,200,63,kobieta,89,48,0
splacona_cz,13,1291.18,3,381.29,70,kobieta,77,48,0
splacona_cz,16,763.38,2,200,57,mê¿czyzna,209,48,0
splacona_cz,13,1370,2,900,59,kobieta,74,48,11
odmowa,12,1700,0,900,19,mê¿czyzna,4,8,0
splacona,11,2080,3,500,53,mê¿czyzna,316,48,15
splacona_cz,98,3000,0,1500,57,mê¿czyzna,67,48,6
splacona_cz,11,3000,3,300,60,mê¿czyzna,210,48,0
splacona_cz,11,1373.34,0,200,30,kobieta,56,48,0
splacona_cz,17,1200,3,200,25,kobieta,163,17,1
splacona,16,685,1,300,52,kobieta,39,48,0
splacona_cz,13,850,2,400,66,kobieta,65,48,1
splacona_cz,12,1700,3,400,54,kobieta,53,0,0
splacona,17,990,3,500,50,kobieta,70,15,13
splacona_cz,11,2400,2,600,35,kobieta,111,48,6
windykacja,12,1030,0,296.54,34,mê¿czyzna,3,20,4954
splacona_cz,11,1900,2,903.23,36,kobieta,177,48,3
splacona_cz,16,1600,1,500,67,mê¿czyzna,10,48,0
splacona_cz,12,1447,3,500,29,kobieta,20,4,4
splacona_cz,13,810,3,300,60,kobieta,31,48,4
splacona_cz,11,2368.57,1,400,54,kobieta,408,48,6
splacona,11,1500,0,378,27,kobieta,22,48,9
splacona_cz,12,1375.47,0,300,45,mê¿czyzna,5,3,0
splacona,11,4900,1,500,50,kobieta,9,48,0
splacona,13,1017,3,200,68,kobieta,159,48,0
splacona,16,588,3,600,55,mê¿czyzna,420,48,0
windykacja,12,1136.86,1,200,28,mê¿czyzna,10,14,4954
splacona_cz,13,910,3,200,66,kobieta,68,48,0
odmowa,98,600,0,200,29,kobieta,3,48,0
splacona_cz,12,1634,1,300,22,kobieta,10,0,3
splacona,11,2500,2,900,47,mê¿czyzna,202,48,11
odmowa,16,1076.83,0,200,78,kobieta,135,48,0
splacona_cz,13,1216,3,200,66,kobieta,139,48,0
splacona_cz,13,1280,3,400,61,kobieta,15,48,0
splacona_cz,11,1300,0,600,54,kobieta,66,48,8
splacona_cz,11,2700,3,450,31,mê¿czyzna,13,48,18
splacona,13,1400,2,500,59,kobieta,52,48,1
splacona_cz,11,2050,3,575.74,32,mê¿czyzna,116,48,7
splacona_cz,16,1770,3,500,58,mê¿czyzna,87,48,0
splacona_cz,12,1865,0,300,31,kobieta,18,3,3
splacona,11,1888.27,2,382.44,29,mê¿czyzna,75,48,16
splacona_cz,12,1000,0,300,50,mê¿czyzna,41,21,0
splacona_cz,11,1721.7,3,385.97,54,kobieta,118,48,1
splacona_cz,13,1872,3,700,58,kobieta,33,48,3
splacona_cz,11,2709.34,3,330.68,35,kobieta,179,48,0
splacona_cz,13,1015,3,400,64,kobieta,107,48,2
splacona_cz,12,984.34,2,200,53,kobieta,16,4,0
splacona_cz,13,1239.98,0,300,78,kobieta,253,48,0
splacona_cz,13,1200.29,0,400,62,kobieta,20,48,0
odmowa,11,1183,0,500,39,kobieta,15,48,0
splacona,13,2113.24,2,200,64,kobieta,59,48,0
splacona_cz,11,2700,3,600,30,mê¿czyzna,62,48,0
