status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
splacona_cz,13,930,0,400,59,kobieta,28,48,1
splacona_cz,12,1100,1,300,65,mê¿czyzna,18,18,2
splacona_cz,11,1900,1,694,38,kobieta,204,48,1
splacona_cz,13,815,0,300,67,kobieta,140,48,4
splacona_cz,13,1500,1,500,61,mê¿czyzna,19,48,0
odmowa,12,1300,0,300,29,mê¿czyzna,0,3,0
splacona_cz,11,2100,1,300,33,mê¿czyzna,60,48,1
splacona,17,1100,0,200,56,kobieta,23,10,0
splacona_cz,11,1493.98,0,200,47,kobieta,357,48,0
splacona_cz,11,1400,0,421.62,33,kobieta,97,48,1
splacona_cz,13,1272,0,500,62,mê¿czyzna,12,48,5
splacona,11,1638,1,1239.88,52,kobieta,310,48,14
splacona_cz,11,2500,0,600,49,kobieta,229,48,0
splacona,13,840,1,200,64,kobieta,109,48,0
splacona_cz,12,950,0,200,37,mê¿czyzna,3,12,0
windykacja,11,2825,0,500,39,kobieta,93,48,298
splacona_cz,13,2066,1,700,61,kobieta,125,48,1
splacona_cz,13,1094,0,300,67,kobieta,180,48,6
splacona_cz,11,1400,1,600,58,kobieta,159,48,13
splacona_cz,13,1185.33,1,200,71,kobieta,220,48,3
splacona_cz,13,1658,1,300,59,kobieta,25,48,0
splacona_cz,13,1900,1,500,62,kobieta,84,48,0
odmowa,13,770,0,200,74,mê¿czyzna,108,48,0
splacona_cz,12,1952.35,0,200,44,mê¿czyzna,0,11,0
splacona_cz,12,1030,1,200,54,mê¿czyzna,5,19,7
splacona_cz,11,2065.98,1,300,52,kobieta,175,48,5
splacona,12,1884.29,0,300,39,mê¿czyzna,16,7,14
splacona_cz,11,3200,1,600,51,kobieta,50,48,0
splacona_cz,11,2031,0,1000,56,mê¿czyzna,110,48,0
splacona,11,3000,0,400,26,mê¿czyzna,37,48,11
splacona_cz,12,670,1,300,45,mê¿czyzna,5,6,2
windykacja,13,1721,1,350,71,kobieta,193,48,5003
windykacja,13,1029.7,0,200,60,kobieta,5,48,5003
splacona_cz,98,1200,1,285.97,38,kobieta,42,48,2
splacona_cz,11,1770,1,280.11,39,kobieta,83,48,2
splacona,99,2500,0,400,55,mê¿czyzna,1,2,83
splacona_cz,11,1250,1,500,61,mê¿czyzna,61,48,0
splacona_cz,16,749.28,1,200,53,kobieta,61,48,0
splacona_cz,16,980,1,400,68,kobieta,127,48,0
odmowa,13,1100,0,300,70,mê¿czyzna,62,48,0
odmowa,11,10000,0,1000,25,mê¿czyzna,5,48,0
splacona,13,1977,0,400,61,kobieta,51,48,0
splacona_cz,13,975,1,277.4,61,kobieta,23,48,0
splacona_cz,11,3335,1,600,56,mê¿czyzna,429,48,0
splacona_cz,98,980,0,300,56,kobieta,7,48,0
odmowa,13,1742.76,0,200,63,mê¿czyzna,38,48,0
splacona_cz,13,860,1,789.27,63,kobieta,77,48,2
odmowa,16,1700,0,500,48,mê¿czyzna,242,48,0
splacona,16,1401,0,300,69,kobieta,72,48,15
splacona_cz,99,1100,0,200,53,kobieta,49,0,0
splacona,11,1500,1,377.92,27,kobieta,21,48,17
splacona_cz,11,3100,1,500,32,kobieta,118,48,0
splacona_cz,11,2700,1,400,37,kobieta,118,48,0
